workoutName,exerciseName,setNum,reps,weight,notes,date
"Pull 2","Pull up",1,8,30,"",2023-02-14
"Pull 2","Pull up",2,8,30,"",2023-02-14
"Pull 2","Pull up",3,6,30,"",2023-02-14
"Pull 2","ISO-Lateral Low Row",1,8,70,"",2023-02-14
"Pull 2","ISO-Lateral Low Row",2,6,70,"",2023-02-14
"Pull 2","ISO-Lateral Low Row",3,8,60,"",2023-02-14
"Pull 2","ISO-Lateral Low Row",4,7,60,"",2023-02-14
"Pull 2","Barbell Curl",1,12,50,"",2023-02-14
"Pull 2","Barbell Curl",2,10,50,"",2023-02-14
"Pull 2","Barbell Curl",3,7,50,"",2023-02-14
"Pull 2","Lat Pulldown",1,10,100,"",2023-02-14
"Pull 2","Lat Pulldown",2,8,100,"",2023-02-14
"Pull 2","Lat Pulldown",3,8,100,"",2023-02-14
"Pull 1","Preacher Curl Machine",1,8,85,"",2023-02-14
"Pull 1","Preacher Curl Machine",2,8,85,"",2023-02-14
"Pull 1","Preacher Curl Machine",3,6,85,"",2023-02-14
"Pull 1","Preacher Curl Machine",4,7,80,"",2023-02-14
"Pull 1","Cable Row",1,10,130,"",2023-02-14
"Pull 1","Cable Row",2,7,135,"",2023-02-14
"Pull 1","Cable Row",3,8,130,"",2023-02-14
"Pull 1","Biangular Lat Pulldown",1,8,200,"",2023-02-14
"Pull 1","Biangular Lat Pulldown",2,7,200,"",2023-02-14
"Pull 1","Biangular Lat Pulldown",3,5,200,"",2023-02-14
"Pull 1","Seated Hammer Curl",1,12,20,"",2023-02-14
"Pull 1","Seated Hammer Curl",2,12,20,"",2023-02-14
"Pull 1","Seated Hammer Curl",3,9,20,"",2023-02-14
"Pull 1","Straight Arm Pulldown",1,8,62,"",2023-02-14
"Pull 1","Straight Arm Pulldown",2,8,62,"",2023-02-14
"Pull 1","Straight Arm Pulldown",3,6,62,"",2023-02-14
"Pull 2","Bar Curl",1,12,50,"",2023-02-14
"Pull 2","Bar Curl",2,10,50,"",2023-02-14
"Pull 2","Bar Curl",3,7,50,"",2023-02-14
"Pull 2","Hammer Curl In",1,10,22,"",2023-02-14
"Pull 2","Hammer Curl In",2,10,22,"",2023-02-14
"Pull 2","Hammer Curl In",3,10,22,"",2023-02-14
"Pull 2","Machine ISO Row",1,10,45,"",2023-02-14
"Pull 2","Machine ISO Row",2,10,55,"",2023-02-14
"Pull 2","Machine ISO Row",3,8,70,"",2023-02-14
"Pull 2","Beigan Cable Curl",1,12,9,"",2023-02-14
"Pull 2","Beigan Cable Curl",2,12,10,"",2023-02-14
"Pull 2","Beigan Cable Curl",3,12,10,"",2023-02-14
"Pull 2","Prone Press",1,15,5,"",2023-02-14
"Pull 2","Prone Press",2,12,5,"",2023-02-14
"Pull 2","Prone Press",3,10,5,"",2023-02-14
"Push 1","Bench Press",1,6,165,"",2023-02-14
"Push 1","Bench Press",2,5,165,"",2023-02-14
"Push 1","Bench Press",3,5,165,"",2023-02-14
"Push 1","Bench Press",4,4,165,"",2023-02-14
"Push 1","Overhead Tricep Extension",1,8,39,"",2023-02-14
"Push 1","Overhead Tricep Extension",2,8,39,"",2023-02-14
"Push 1","Overhead Tricep Extension",3,8,39,"",2023-02-14
"Push 1","Reverse Fly",1,10,100,"",2023-02-14
"Push 1","Reverse Fly",2,9,100,"",2023-02-14
"Push 1","Reverse Fly",3,7,100,"",2023-02-14
"Push 1","Squeeze Press",1,8,50,"",2023-02-14
"Push 1","Squeeze Press",2,7,50,"",2023-02-14
"Push 1","Squeeze Press",3,6,50,"",2023-02-14
